,edu,age,female,conspiracy,scandal,media_score,google,poltrust_score
128,1,56,1,1,1,56.25,50,70.8333333333333
129,1,61,1,1,1,43.75,60,43.0
130,2,31,0,0,0,48.75,40,63.3333333333333
131,2,22,0,0,0,46.125,75,16.6666666666667
132,2,30,0,0,0,60.75,78,62.1666666666667
133,2,54,1,0,0,30.0,25,63.3333333333333
134,3,32,1,0,0,51.875,55,34.6666666666667
135,3,38,1,0,0,61.25,90,65.0
136,1,46,1,0,0,43.75,50,41.6666666666667
137,2,43,0,1,1,35.625,50,48.3333333333333
138,2,52,1,0,1,52.5,70,76.6666666666667
139,1,32,1,0,0,30.875,30,61.6666666666667
140,1,25,1,1,1,56.875,85,60.8333333333333
141,2,52,1,1,0,27.5,0,13.3333333333333
142,0,36,0,0,1,28.75,40,43.3333333333333
143,2,51,0,1,0,60.0,70,75.8333333333333
144,2,33,0,1,0,75.625,70,77.5
145,0,39,0,0,1,3.75,0,15.8333333333333
146,3,38,1,0,1,65.0,70,68.3333333333333
147,2,24,1,1,0,41.25,40,53.3333333333333
148,0,28,1,1,1,63.75,100,43.3333333333333
149,1,29,1,0,0,50.0,50,53.3333333333333
150,2,44,1,1,1,50.625,65,56.6666666666667
151,1,60,1,1,0,68.75,80,83.3333333333333
152,2,64,1,0,0,47.5,50,45.0
153,3,76,0,0,0,50.0,60,74.1666666666667
154,2,45,0,1,1,27.5,40,15.0
155,0,36,0,1,1,46.875,50,28.3333333333333
156,2,56,1,0,0,33.25,10,45.3333333333333
157,0,54,1,1,0,50.0,50,70.8333333333333
158,2,46,1,1,1,45.0,70,38.0
159,3,41,1,0,1,62.375,75,70.0
160,2,41,1,1,1,41.25,50,49.1666666666667
161,2,49,0,1,1,6.25,25,4.16666666666667
162,3,67,1,1,1,34.375,50,44.0
163,2,28,1,1,0,50.625,80,45.1666666666667
164,2,56,1,1,0,43.75,50,65.0
165,0,33,1,1,1,30.0,40,18.0
166,2,45,1,0,1,64.375,75,78.3333333333333
167,2,42,0,0,0,63.75,75,45.3333333333333
168,2,39,1,1,0,53.75,60,56.6666666666667
169,2,41,1,1,0,50.0,50,35.1666666666667
170,2,34,1,0,0,65.625,65,48.3333333333333
171,3,28,0,0,1,76.25,70,83.3333333333333
172,0,50,1,0,0,41.25,50,38.3333333333333
173,0,31,0,0,0,41.25,50,16.6666666666667
174,1,42,0,0,0,15.625,25,15.8333333333333
175,3,29,0,1,1,21.25,50,17.0
176,1,41,1,1,1,53.125,75,53.3333333333333
177,2,51,0,1,0,17.5,0,30.8333333333333
178,2,23,1,1,1,51.25,70,55.8333333333333
179,3,34,1,1,1,40.625,50,70.8333333333333
