,phase,character,idusers,idnetwork,hint_cloth,hint_col,hat_guess,shirt_guess,pant_guess,shoe_guess,glove_guess,hat,shirt,pant,shoe,glove,score_hat,score_shirt,score_pant,score_shoe,score_glove,score,num_corrects,num_mistakes,grey,winner,grp_act_num,grp_num_corrects,grp_num_mistakes,pos
151,1.0,Teseo,1599,1,guanti,bianco,2.0,3.0,10.0,10.0,8.0,2,4,1,7,8,10.0,-5.0,0.0,0.0,10.0,15.0,2.0,1.0,2.0,0.0,5.0,15.0,4.0,e
157,1.0,Freddie,360,1,guanti,bianco,9.0,5.0,4.0,7.0,8.0,9,5,4,7,8,10.0,10.0,10.0,10.0,10.0,50.0,5.0,0.0,0.0,1.0,5.0,25.0,0.0,e
160,1.0,Roger,901,2,felpa,giallo,7.0,3.0,5.0,1.0,9.0,7,3,5,1,9,10.0,10.0,10.0,10.0,10.0,50.0,5.0,0.0,0.0,1.0,5.0,25.0,0.0,a
161,1.0,Jeffrey,1259,2,felpa,giallo,3.0,3.0,7.0,6.0,2.0,3,3,7,6,2,10.0,10.0,10.0,10.0,10.0,50.0,5.0,0.0,0.0,1.0,5.0,25.0,0.0,a
164,1.0,Ben,411,2,guanti,giallo,9.0,8.0,5.0,1.0,3.0,9,3,6,9,3,10.0,-5.0,-5.0,-5.0,10.0,5.0,2.0,3.0,0.0,0.0,5.0,13.0,8.0,a
168,1.0,Johnnie,2114,2,pantaloni,celeste,9.0,10.0,6.0,10.0,9.0,9,6,6,3,9,10.0,0.0,10.0,0.0,10.0,30.0,3.0,0.0,2.0,0.0,5.0,14.0,0.0,a
169,1.0,Darren,1900,2,guanti,bianco,10.0,3.0,10.0,10.0,8.0,4,3,1,6,8,0.0,10.0,0.0,0.0,10.0,20.0,2.0,0.0,3.0,0.0,5.0,14.0,2.0,a
177,1.0,Clinton,929,2,pantaloni,bianco,2.0,1.0,8.0,4.0,1.0,2,1,8,4,1,10.0,10.0,10.0,10.0,10.0,50.0,5.0,0.0,0.0,1.0,5.0,21.0,0.0,a
182,1.0,Isaac,507,2,scarpe,celeste,3.0,1.0,9.0,6.0,7.0,7,2,2,6,9,-5.0,-5.0,-5.0,10.0,-5.0,-10.0,1.0,4.0,0.0,0.0,5.0,11.0,10.0,a
187,1.0,Mirco,2128,2,scarpe,rosso,7.0,6.0,4.0,1.0,3.0,7,6,4,1,3,10.0,10.0,10.0,10.0,10.0,50.0,5.0,0.0,0.0,1.0,5.0,24.0,1.0,a
190,1.0,Emiliano,1008,2,pantaloni,nero,3.0,1.0,9.0,3.0,4.0,3,6,9,8,9,10.0,-5.0,10.0,-5.0,-5.0,5.0,2.0,3.0,0.0,0.0,5.0,14.0,4.0,a
195,1.0,Mirco,2108,2,cappello,violetto,7.0,6.0,4.0,1.0,3.0,7,6,4,1,3,10.0,10.0,10.0,10.0,10.0,50.0,5.0,0.0,0.0,1.0,5.0,24.0,1.0,b
